2026-02-01 16:35:00 | DEBUG   | asyncio | Using proactor: IocpProactor
2026-02-01 16:41:54 | ERROR   | src.jd_api | 请求失败 https://c0.3.cn/stocks: 
2026-02-01 16:41:58 | DEBUG   | src.jd_api | 获取商品信息成功: SKU=100012043978, 名称=【茅台白酒】茅台飞天 53%vol  5...
2026-02-01 16:41:58 | INFO    | src.monitor | 检查商品: 示例商品1 | 价格: ¥0.0 | 库存: 未知
2026-02-01 16:41:58 | INFO    | src.monitor | 检测到变化: 示例商品1, 变化: {'is_new': True}
2026-02-01 16:42:03 | INFO    | src.notifier | Telegram 消息发送成功
2026-02-01 16:42:12 | INFO    | __main__ | 监控已停止
2026-02-01 16:50:44 | DEBUG   | asyncio | Using proactor: IocpProactor
2026-02-01 16:50:44 | INFO    | src.monitor | ==================================================
2026-02-01 16:50:44 | INFO    | src.monitor | 京东商品监控启动
2026-02-01 16:50:44 | INFO    | src.monitor | 监控间隔: 60 秒
2026-02-01 16:50:44 | INFO    | src.monitor | 监控模式: multi
2026-02-01 16:50:44 | INFO    | src.monitor | 监控商品数: 2
2026-02-01 16:50:44 | INFO    | src.monitor |   - 示例商品1
2026-02-01 16:50:44 | INFO    | src.monitor |   - 示例商品2
2026-02-01 16:50:48 | INFO    | src.notifier | Telegram 连接成功，Bot: @onlybulidbbot
2026-02-01 16:50:48 | INFO    | __main__ | 监控已停止
2026-02-01 16:50:53 | DEBUG   | asyncio | Using proactor: IocpProactor
2026-02-01 16:50:53 | INFO    | src.monitor | ==================================================
2026-02-01 16:50:53 | INFO    | src.monitor | 京东商品监控启动
2026-02-01 16:50:53 | INFO    | src.monitor | 监控间隔: 60 秒
2026-02-01 16:50:53 | INFO    | src.monitor | 监控模式: multi
2026-02-01 16:50:53 | INFO    | src.monitor | 监控商品数: 2
2026-02-01 16:50:53 | INFO    | src.monitor |   - 理光相机1
2026-02-01 16:50:53 | INFO    | src.monitor |   - 理光相机2
2026-02-01 16:50:55 | INFO    | src.notifier | Telegram 连接成功，Bot: @onlybulidbbot
2026-02-01 16:50:57 | INFO    | src.notifier | Telegram 消息发送成功
2026-02-01 16:50:57 | INFO    | src.monitor | ==================================================
2026-02-01 16:50:57 | INFO    | src.monitor | 开始检查 - 2026-02-01 16:50:57
2026-02-01 16:50:57 | INFO    | src.cookie_manager | Cookie 加载成功
2026-02-01 16:51:10 | INFO    | src.cookie_manager | Cookie 格式检查通过，用户: jd_5f952e33ff3b5
2026-02-01 16:51:10 | INFO    | src.monitor | 没有找到历史状态文件，首次运行
2026-02-01 16:51:25 | ERROR   | src.jd_api | 请求失败 https://p.3.cn/prices/mgets: 
2026-02-01 16:51:37 | ERROR   | src.jd_api | 请求失败 https://c0.3.cn/stocks: 
2026-02-01 16:51:44 | DEBUG   | src.jd_api | 获取商品信息成功: SKU=100268293328, 名称=【理光GRIIIx HDF】理光（Ric...
2026-02-01 16:51:44 | INFO    | src.monitor | 检查商品: 理光相机1 | 价格: ¥0.0 | 库存: 未知
2026-02-01 16:51:44 | INFO    | src.monitor | 检测到变化: 理光相机1, 变化: {'is_new': True}
2026-02-01 16:51:46 | INFO    | src.notifier | Telegram 消息发送成功
2026-02-01 16:51:59 | ERROR   | src.jd_api | 请求失败 https://p.3.cn/prices/mgets: 
2026-02-01 16:52:03 | INFO    | __main__ | 监控已停止
2026-02-01 16:54:33 | DEBUG   | asyncio | Using proactor: IocpProactor
2026-02-01 16:54:33 | INFO    | src.monitor | ==================================================
2026-02-01 16:54:33 | INFO    | src.monitor | 开始检查 - 2026-02-01 16:54:33
2026-02-01 16:54:33 | INFO    | src.cookie_manager | Cookie 加载成功
2026-02-01 16:54:44 | INFO    | src.cookie_manager | Cookie 格式检查通过，用户: jd_5f952e33ff3b5
2026-02-01 16:54:44 | INFO    | src.monitor | 没有找到历史状态文件，首次运行
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b':method', b'GET') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 2 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b':authority', b'item.jd.com') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 1 with 6 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 8 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b':scheme', b'https') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 7 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b':path', b'/100268293328.html') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 4 with 6 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 13 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'user-agent', b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 58 with 6 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 85 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'accept', b'application/json, text/javascript, */*; q=0.01') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 19 with 6 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 34 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'accept-language', b'zh-CN,zh;q=0.9,en;q=0.8') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 17 with 6 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 19 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'accept-encoding', b'gzip, deflate, br') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 16 with 6 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 13 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'referer', b'https://www.jd.com/') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 51 with 6 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 15 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'cookie', b'__jdv=76161171|www.google.com|-|referral|-|1769933663562; __jdu=17699336635622125707106; areaId=12; ipLoc-djd=12-978-0-0; PCSYCityID=CN_320000_320400_0; wlfstk_smdl=t2gzi4uh2jn1va0suygk1cx7qp7upk2i; TrackID=1CGQQkzh4XvSvxTFsXxfJAtxVMo2xlzjzzE1PYOT75uWFuHFJBkzH13y1wCFmev9bXn5HpV5_SaavtGN7Q2AAj26aGyiiYO56ovFdXK0BzfI; thor=E4A2194D6947E4964A761D782F8E5EC8BBDEE9C20241F5F15B7077B0BDA915A420A65BCDC9C1CBF24FCDBE57B004D11D5933F2D2FBCC97D3AB6F91DB95567ED5C782116AC1830F785534A268CFED2F4BC9890077A96820DCD5AFBF8C2E2B7E9D94C8CE710299BDC42C7255B5DCCC4E1298044921486EA3A8FBC7C6E47AEB5B22BF1C0EC9A31960C14C920021B18DFE722D09D9EE3D3F9C17E87CF1F1B9733348; light_key=AASBKE7rOxgWQziEhC_QY6yaCAWZLW3n0AtNjeSioZ8eQpB_b76KKvdBRrVfTNxd9gPq6ev_; pinId=DBIf8lqDiAl91ZGLpltf2LV9-x-f3wj7; pin=jd_5f952e33ff3b5; unick=o%E5%B1%B1%E6%B2%B3o; ceshi3.com=201; _tp=xtQBvjl7Xr1MLbVzYpux0RBIsOkEcqNYIOYXe5Rs7MU%3D; _pst=jd_5f952e33ff3b5; cn=7; mail_times=4%2C1%2C1769933692464; shshshfpa=91331422-58f9-205b-5ad4-d314868ebdde-1769933695; shshshfpx=91331422-58f9-205b-5ad4-d314868ebdde-1769933695; source=PC; platform=pc; __jda=211148491.17699336635622125707106.1769933664.1769933664.1769933664.1; __jdc=211148491; wxa_level=1; retina=0; cid=9; jxsid=17699341038857286806; appCode=ms0ca95114; mba_muid=17699336635622125707106; webp=1; visitkey=7687779492450605446; cd_eid=jdd03CHJSZ4NJUK6O7GS5TFIL4OJPQI5BVYRURFVAYFHQG43DMIB52TQDWUS4IZN2RGSF2IOIH2ZMU5SPVQZ5TRYGFRRDUIAAAAM4DBCHGFYAAAAACQ7YWH67RZLV3IX; 3AB9D23F7A4B3CSS=jdd03CHJSZ4NJUK6O7GS5TFIL4OJPQI5BVYRURFVAYFHQG43DMIB52TQDWUS4IZN2RGSF2IOIH2ZMU5SPVQZ5TRYGFRRDUIAAAAM4DBFSWQIAAAAADJCR5TC4CXSF7YX; 3AB9D23F7A4B3C9B=CHJSZ4NJUK6O7GS5TFIL4OJPQI5BVYRURFVAYFHQG43DMIB52TQDWUS4IZN2RGSF2IOIH2ZMU5SPVQZ5TRYGFRRDUI; _gia_d=1; PPRD_P=UUID.17699336635622125707106; jxsid_s_u=https%3A//my.m.jd.com/; sc_width=1920; flash=3_7oATSyAmlWBS58dqA6QZwF6fulainm6n-0n0GkF9p1HdrYFGdj-lzDNyLTynNmE59VI1r8UFjrYZZBreVAvih7KebIjWRrUgsC3TP3JiyNSRA8TKojmncl67MgCDo_GoBCZLa8tQ_bfb_zx9y8k7XlEcVJTxLqcmB1TLO2uk8QBnry3VFr5tTV**; shshshfpb=BApXWH69DG_lAxboyqr7O7-gdumM9SAwEBivSMbpo9xJ1ItZfQtPQy0-5iXipNYAgceC53b6OsqFbc7Bgua5asdp9Zlzg_GEDvUwB; jcap_dvzw_fp=2XrgrDse1Kt9DuORIzSkKgPdYh2y_mHI7dI1KMo52W3LfGgvurOwCYFnndHbE2lBwHZuAYVkDgutbiNp52g7XX3UiAQ=; TrackerID=CK85NNoOw615MvgDUej2TFmhVAlZYxBKZj6wugxAvoDb2P_LQIR8PWDk-yypyr8Ud4LbnvQHNi8pQfB4JnroQzR06KBCYDDunYY_Vndwb0Y; pt_key=AAJpfw0wADCJnawb_PHFwOccZrKmBJkptNR4nTAt-lCoy8V3YmK1rUHWjNbPEc6meeCg20x0FG4; pt_pin=jd_5f952e33ff3b5; pt_st=1_DEjYh_XmA1A5Kxw1pEaej14Lz6aq2D1mQyRq7vKVS0Z2zLEP-ii1OZJtPGKMltIZaiLo8NyRpLp9OMckiUdcot4o-CvuXAdam7YypbOuTlyX9fvWeX8qAs1_AqpuJmtac3RRuRnfjPXMBV5um2aKCDbvYZsI4FRLDi6jcWpf4Szvymp2Is8qwnELWuY3ki9edFYpo_Rfab4ouhMLe3PTBdxRoQm4zRoV92cL9d2P; pt_token=4ls0rbm3; pwdt_id=jd_5f952e33ff3b5; sfstoken=tk01mf6f61e16a8sMysxKzF4MngziLrKelmUYS00+3zBuZnVkroVSCp5JsUatzGWuIkfkos1iNBrLUEyHQnQGBHpsupn; whwswswws=; autoOpenApp_downCloseDate_jd_homePage=1769934197741_1; wqmnx1=MDEyNjM2MGgvLm04OTBvL1dzMGl4cGIzKCwgKW0uIGkzM2ZmMjVWRUlVKFI%3D; __jdb=211148491.31.17699336635622125707106|1.1769933664; mba_sid=1769934103906357749933.12; jxsid_s_t=1769934202407; __jd_ref_cls=MDownLoadFloat_ApiDownloadAppLayerConfigData; sdtoken=AAbEsBpEIOVjqTAKCQtvQu17s5duP8gxnOjcQIxpsWUjOQ5IaDlG2RHJIRv4wkVTFOpcUV21LpWZ2S2jZzwYRFQ9AXBkbjz1-f3A8yJgJDYhB7hTwun-VpYRxthlIRXMMbkqltfRm8465Fmkb1O-B2FPQm2eAr8-TIT0eAWVhcwDfFZd') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 32 with 6 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 2611 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'sec-ch-ua', b'"Not_A Brand";v="8", "Chromium";v="120", "Google Chrome";v="120"') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 7 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 55 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'sec-ch-ua-mobile', b'?0') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 11 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 2 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'sec-ch-ua-platform', b'"Windows"') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 13 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 8 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.table | Evicting b':authority': b'item.jd.com' from the header table
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'sec-fetch-dest', b'empty') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 10 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 4 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.table | Evicting b':path': b'/100268293328.html' from the header table
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'sec-fetch-mode', b'cors') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 10 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 3 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.table | Evicting b'user-agent': b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36' from the header table
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Adding (b'sec-fetch-site', b'same-site') to the header table, sensitive:False, huffman:True
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 10 with 7 bits
2026-02-01 16:54:49 | DEBUG   | hpack.hpack | Encoding 6 with 7 bits
